Compound_CID,Compound,Formula,Molecular_Weight,CAS No.,External Link to ChEMBL,Source_Chemical,Source_Chemical_URL
162968055,"(2R,3R,4S,5S,6R)-2-[[(1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1,7-dimethyl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,578.29,,,NPC33998,https://bidd.group/NPASS/compound.php?compoundID=NPC33998
162970769,"(2R,3S,4S,5S,6S)-2-[[(1S,3aR,4R,5R,7aS)-7a-methyl-5-propan-2-yl-4-[[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,564.31,,,NPC103180,https://bidd.group/NPASS/compound.php?compoundID=NPC103180
162970770,"(2R,3R,4S,5S,6R)-2-[[(1S,3aR,4R,5R,7aR)-7a-methyl-5-propan-2-yl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C₂₇H₄₈O₁₂,564.314576976,,,"(2R,3R,4S,5S,6R)-2-[[(1S,3aR,4R,5R,7aR)-7a-methyl-5-propan-2-yl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q104950782
162984487,"(1S,2S,5R,6R,7S,8R,11R)-7,11-dihydroxy-5-(hydroxymethyl)-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₁₅H₂₄O₅,284.162373868,,,"(1S,2S,5R,6R,7S,8R,11R)-7,11-dihydroxy-5-(hydroxymethyl)-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105242475
162989721,"(2R,3S,4S,5S,6S)-2-[[(1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,416.24,,,NPC273109,https://bidd.group/NPASS/compound.php?compoundID=NPC273109
162989722,"(2R,3R,4S,5S,6R)-2-[[(1S,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,416.24,,,NPC29826,https://bidd.group/NPASS/compound.php?compoundID=NPC29826
163033046,"(2R,3R,4S,5S,6R)-2-[[(8S,8aR)-8-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,6,7,8,8a-hexahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C₂₇H₄₄O₁₂,560.283276848,,,"(2R,3R,4S,5S,6R)-2-[[(8S,8aR)-8-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,6,7,8,8a-hexahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105291288
163067475,"(1S,2R,3R,5R,6S,8S)-3-hydroxy-8-(hydroxymethyl)-5-(2-hydroxypropan-2-yl)-2-methyltricyclo[4.4.0.02,8]decan-7-one",C₁₅H₂₄O₄,268.167459248,,,"(1S,2R,3R,5R,6S,8S)-3-hydroxy-8-(hydroxymethyl)-5-(2-hydroxypropan-2-yl)-2-methyltricyclo[4.4.0.02,8]decan-7-one",https://www.wikidata.org/wiki/Q105350733
163081696,"(1S,2R,3R,5S,6S,8R,9S)-3,9-dihydroxy-2,8-dimethyl-5-propan-2-yltricyclo[4.4.0.02,8]decan-7-one",C₁₅H₂₄O₃,252.172544628,,,"(1S,2R,3R,5S,6S,8R,9S)-3,9-dihydroxy-2,8-dimethyl-5-propan-2-yltricyclo[4.4.0.02,8]decan-7-one",https://www.wikidata.org/wiki/Q105179386
163087350,"(1R,2R,5R,6S,9S,15R,16S)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",,291.18,,,NPC297685,https://bidd.group/NPASS/compound.php?compoundID=NPC297685
