Compound_CID,Compound,Source_Chemical,Source_Chemical_URL,Molecular_Weight,Formula
24777877,"(1S,2S,5R,6R,7S,8S,11S)-7-hydroxy-5-(hydroxymethyl)-11-[(2R)-1-hydroxypropan-2-yl]-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one","(1S,2S,5R,6R,7S,8S,11S)-7-hydroxy-5-(hydroxymethyl)-11-[(2R)-1-hydroxypropan-2-yl]-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105144222,284.162373868,C₁₅H₂₄O₅
24777879,"(1R,1aR,4R,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol","(1R,1aR,4R,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",https://www.wikidata.org/wiki/Q105328872,254.188194692,C₁₅H₂₆O₃
24777882,"(1S,2S,4S,4aR,8aS)-6-(hydroxymethyl)-1-methyl-4-propan-2-yl-3,4,4a,7,8,8a-hexahydro-2H-naphthalene-1,2-diol",Dendronobilin G,https://www.wikidata.org/wiki/Q104995867,254.188194692,C₁₅H₂₆O₃
42608199,Dendrobane A,Dendrobane A,https://www.wikidata.org/wiki/Q105134423,252.172544628,C₁₅H₂₄O₃
44418788,"1,4,7-Trihydroxy-5-Methoxyfluoren-9-One","1,4,7-Trihydroxy-5-Methoxyfluoren-9-One",https://bidd.group/NPASS/compound.php?compoundID=NPC216624,258.05,
44445441,"3,4,7-Trimethoxy-9,10-dihydrophenanthren-2-ol","9,10-Dihydro-3,4,7-trimethoxyphenanthrene-2-ol",https://www.wikidata.org/wiki/Q105225076,286.120509056,C₁₇H₁₈O₄
44445442,"2,4,7-Trimethoxyphenanthren-3-ol","2,4,7-Trimethoxyphenanthrene-3-ol",https://www.wikidata.org/wiki/Q105213029,284.104858992,C₁₇H₁₆O₄
44445443,Bulbophyllanthrin,Bulbophyllanthrin,https://bidd.group/NPASS/compound.php?compoundID=NPC243759,270.09,
44445444,Ephemeranthol A,Ephemeranthol A,https://bidd.group/NPASS/compound.php?compoundID=NPC69029,272.1,
44445445,plicatol A,Plicatol A,https://bidd.group/NPASS/compound.php?compoundID=NPC266006,300.1,
44559639,Dendromoniliside A,NPC50866,https://bidd.group/NPASS/compound.php?compoundID=NPC50866,414.23,
44567193,"[(2S,3R,4S,5R)-3-acetyloxy-5-hydroxy-2-[[(1S,3R,6S,8R,9S,11S,12S,14S,15R,16R)-14-hydroxy-15-[(2R,5S)-5-(2-methoxypropan-2-yl)-2-methyloxolan-2-yl]-7,7,12,16-tetramethyl-9-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-pentacyclo[9.7.0.01,3.03,8.012,16]octadecanyl]oxy]oxan-4-yl] acetate",NPC481842,https://bidd.group/NPASS/compound.php?compoundID=NPC481842,882.5,
46782954,Sucrose NF,NPC213935,https://bidd.group/NPASS/compound.php?compoundID=NPC213935,342.12,
46871897,"3,4,8-Trimethoxyphenanthrene-2,5-Diol","3,4,8-Trimethoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q18353086,300.099773612,C₁₇H₁₆O₅
46871898,Epheneranthol C,Epheneranthol C,https://www.wikidata.org/wiki/Q105154728,258.089208928,C₁₅H₁₄O₄
46890966,"5-Methoxy-9,10-dihydrophenanthrene-2,4,7-triol","5-Methoxy-9,10-dihydrophenanthrene-2,4,7-triol",https://www.wikidata.org/wiki/Q105188181,258.089208928,C₁₅H₁₄O₄
54675866,"3,4-Dihydroxybenzoate",NPC156655,https://bidd.group/NPASS/compound.php?compoundID=NPC156655,154.03,
71441453,"9H-Fluoren-9-one, 2,4,7-trihydroxy-5-methoxy-","2,4,7-Trihydroxy-5-Methoxyfluoren-9-One",https://bidd.group/NPASS/compound.php?compoundID=NPC18714,258.05,
